label,n,uncertainty–linear gain ρ,uncertainty–linear gain p,uncertainty–MLP gain ρ,uncertainty–MLP gain p,linear–MLP agreement ρ,linear–MLP agreement p,same gain direction
1,50,0.20113059300642597,0.16133490403982848,0.17704681872749098,0.21870079667364328,0.4278104224018755,0.0019415220243766036,0.12
2,11,0.5454545454545455,0.08265095734417503,0.36363636363636365,0.27163754099382253,0.8363636363636365,0.0013331850799508565,1.0
3,50,0.23435290285893162,0.1013979636237646,0.09464585834333733,0.5132469929529071,0.2598129232116697,0.0684368868059858,0.66
4,50,0.21498977013075848,0.1337825281474051,0.24897959183673468,0.08122950527786901,0.2576003552017196,0.07090998583737226,0.08
5,16,-0.5029411764705883,0.04706314046727303,-0.2647058823529412,0.3218043958686153,0.6617647058823529,0.005233753301327502,0.9375
7,50,0.04048927888777475,0.7801101451070813,0.1872268907563025,0.19293115958816118,-0.11132245926547639,0.44150412609129813,0.04
