metric,beta_0_mean,beta_aware_mean,paired_difference
mean_path_uncertainty,0.16660812580035833,0.1475756304194899,-0.019032495380868427
final_uncertainty,0.17108038197223818,0.14108996251078262,-0.02999041946145557
linear_target_gain,0.21980386819058345,0.21120004355177727,-0.008603824638806221
mlp_target_gain,0.1543197681186596,0.15480998757450182,0.000490219455842192
linear_damage,0.20686337518737352,0.20588169924514127,-0.000981675942232246
mlp_damage,0.18440288015309952,0.1746592387759679,-0.009743641377131651
