label,sample,gp_to_fixed,start_to_end,uncertainty,linear_target_gain,linear_damage,linear_increased,mlp_target_gain,mlp_damage,mlp_increased
1,24,0.2917522524339907,-0.07964911302452096,0.10238589268490729,0.0,0.0007882147485285809,0.0,1.213351129173371e-40,0.09288835905777168,1.0
1,58,-0.24233183007770162,-0.6802689842624677,0.10032107691509026,-2.183790918517031e-121,0.09756849473966939,0.0,-1.3172663950542354e-07,0.025857332052424797,0.0
1,62,0.2099254829346246,0.2873822667106448,0.12355277707645623,1.0,0.014027075618962215,1.0,6.708901662505587e-07,0.1372707736634315,1.0
1,72,0.4560383000923991,0.7913647288402479,0.12879001709753085,0.0,5.4796143178492684e-09,0.0,1.487023368080854e-13,0.12115978607666367,1.0
1,87,-0.32031634115361923,0.22489033100068692,0.09046042957636724,0.0,0.5,0.0,2.411262007841455e-49,0.04986263518430738,1.0
1,173,-0.13513322318792542,-0.037107947671370364,0.0605348593134368,0.0,0.0036913968120864294,0.0,-1.0061518914261563e-17,0.0,0.0
1,191,0.023370347692830584,-0.7995345964807024,0.1208080861446148,0.0,0.49356289640787016,0.0,2.8704355977158412e-39,0.010279981334034856,1.0
1,235,-0.2702549981099056,0.04101837311524363,0.12624993664682946,0.0,7.145217754689348e-07,0.0,1.3402546365066731e-20,0.01603316647807984,1.0
1,260,0.1942094543696753,0.2413656162205286,0.0849624425131671,0.0,0.09052154629910125,0.0,5.097539225809319e-10,0.06972834735914712,1.0
1,279,-0.07984302758453046,-0.1769793354239969,0.11594425352625846,0.0,2.091736400633426e-05,0.0,1.7160094189082485e-27,0.0,1.0
1,300,-0.38216178294439046,-0.04472920623153322,0.1308003761896863,0.0,0.08517798379735486,0.0,1.1686346125621966e-11,0.08868294663241039,1.0
1,311,-0.2025456805117852,-0.4865079487747132,0.12973614277489778,0.0,0.008287096435437286,0.0,-1.175008718732994e-13,0.1184232161556793,0.0
1,314,0.3166541659231346,-0.14052837671252913,0.11846239740411674,0.0,0.0007014225384532891,0.0,3.510890565673875e-06,0.20816259615048846,1.0
1,324,-0.036481825596390266,0.27527478315142906,0.08255330189873858,-5.377744267699212e-202,0.1454650845706255,0.0,8.752585372720061e-08,0.15802583021292538,1.0
1,328,0.3098859178279491,0.6726683283066601,0.12008941167516853,0.0,3.2554388595951167e-07,0.0,-1.9351833146635245e-07,0.1127110832247375,0.0
1,343,-0.09617409248022661,-0.47354404066506156,0.13002749540000907,0.0,7.51372605450884e-06,0.0,8.918201515228883e-56,0.0018270273093708989,1.0
1,364,0.2944500319725107,0.920962684184138,0.10315439282742454,0.0,0.15602331794165428,0.0,3.173011344444035e-16,0.01929962330662338,1.0
1,368,0.02358711823442547,0.2364754862386073,0.05401080274281623,0.0,7.247519321668117e-05,0.0,1.4062531369391676e-62,0.0,1.0
1,391,-0.11329202866890722,-0.06598282844809795,0.08882205879147094,0.0,0.0,0.0,9.343653594470805e-56,0.10140291222370118,1.0
1,428,-0.017204106091562615,-0.21806788016869957,0.09956135429855123,0.0,0.0,0.0,6.972495122859506e-13,0.03007340243873589,1.0
1,436,0.39543979336355684,0.6962965019960915,0.0941655129042443,0.0,0.13433564435600137,0.0,2.527696920122029e-08,0.0738788749960652,1.0
1,447,-0.06309134444014769,-0.10472109828184722,0.06682452903209289,0.0,2.7687491630523924e-05,0.0,-6.473069988615603e-32,0.005211811279396775,0.0
1,473,0.03644210002667356,0.29242209914866346,0.11429546314771913,0.0,0.06343412288415323,0.0,1.0273329101771506e-43,0.047177939455178564,1.0
1,528,-0.35558317917962023,-0.29706284030740293,0.12262161145072152,0.0,0.0,0.0,1.2472943384492546e-33,0.0,1.0
1,530,0.18049731280809447,-0.08578952911418035,0.07479892387645692,0.0,0.0,0.0,-1.9227937012750308e-09,0.0,0.0
1,572,0.040840781009955654,-0.30142437978042985,0.13691733566447756,0.0,0.0,0.0,1.180283827461328e-53,0.0,1.0
1,622,0.0931898273440024,0.3170214016319499,0.12166178296154187,0.0,0.406608733374163,0.0,2.968514105440248e-09,0.1627656595928088,1.0
1,630,0.328823363101164,-0.24915802226222267,0.11007279320203527,0.0,0.49593003302419036,0.0,-1.6692321443983936e-32,0.017288508124451762,0.0
1,631,0.3023070127207725,0.13532193690522049,0.12308702660671206,0.0,0.0002469331477314429,0.0,1.1520543807536336e-22,0.06142503129392871,1.0
1,636,-0.03734218918602103,-0.374169337455402,0.14538446753857623,0.0,0.00104901682504005,0.0,4.030079106929259e-59,0.0,1.0
1,638,0.05650348278578202,0.07976466083628639,0.09863253331062234,0.0,1.2101556147725567e-05,0.0,-4.927889912843062e-35,0.01492622022976925,0.0
1,658,-0.06036451753701355,-0.37650498825541845,0.14334993025900916,0.0,0.0008873132956306318,0.0,-8.048221874356943e-23,0.0,0.0
1,663,-0.1388552441725669,0.11604276090161592,0.10761149412919521,0.0,0.4693948390213646,0.0,0.06260509550324213,0.3681936582502916,1.0
1,668,-0.48037602287355696,-0.6910220978431538,0.08921057647187491,0.0,0.032964291391527456,0.0,7.938377081104742e-59,0.2726460763497386,1.0
1,672,0.26923577182944936,0.5630954345761878,0.1407587446579449,0.0,0.03816362768808218,0.0,-4.0201511777756936e-05,0.0,0.0
1,673,0.1065942208768477,0.3982588174207748,0.1029240630558312,1.0937376447451328e-20,0.0,1.0,3.0514213509375435e-05,0.4814878082092668,1.0
1,788,0.17271348488400393,0.04825224848899924,0.1343497769189703,0.0,0.4528799270164874,0.0,3.9592266743621077e-13,0.06422622720715465,1.0
1,789,0.13172087571994057,0.3653109041606313,0.08850271301950971,0.0,0.43810081929037425,0.0,1.548730702281181e-07,0.1341907336192195,1.0
1,790,0.24971594060687854,0.23026751479334628,0.1344154907273449,0.0,0.004961129658086757,0.0,1.0365642833607303e-13,0.2832823630199931,1.0
1,792,0.04261608779656027,-0.706817006716412,0.12712304159143312,0.0,0.3261149333914686,0.0,-3.1897718585254835e-14,0.39282485612111046,0.0
1,810,-0.08496852097947151,-0.08058279966862258,0.05816751283156607,0.0,0.00011605971132303988,0.0,-1.846582109842702e-26,0.06214527530192504,0.0
1,885,-0.05828188867464654,0.29334622786135933,0.07139296207201577,0.0,0.001330841424250273,0.0,-1.7740539198789603e-28,0.15261052975761552,0.0
1,886,0.5025898449440256,0.5430137545452316,0.14418575325800645,7.39826576141472e-301,0.7955824572780321,1.0,0.00012843102788915862,0.6679576179285744,1.0
1,917,0.2271602076611992,0.1495576422592924,0.10186911714925062,0.0,5.156104152304053e-05,0.0,3.2499661887181284e-30,0.06135804166137582,1.0
1,985,0.4700879912060273,0.40082162963067425,0.1194964867344123,1.0,0.31930225322222877,1.0,0.008761392100534626,0.2655440590536758,1.0
1,993,-0.2203914899838117,-0.05125063228483702,0.13093874968523944,0.0,0.47767115274011657,0.0,2.1742276778879558e-13,0.14330868591998053,1.0
1,1052,0.3239966354121506,-0.08590717902525732,0.08533228545194099,0.0,2.8138082741820483e-05,0.0,-6.4174806797035e-23,0.005146613520820888,0.0
