label,n,GP–GP cosine,GP–fixed cosine,start–end cosine,uncertainty–linear gain ρ,uncertainty–MLP gain ρ,uncertainty–linear damage ρ,uncertainty–MLP damage ρ,linear target gain,MLP target gain,linear fraction increased,MLP fraction increased
1,207,0.029937848397416325,0.07559039000636351,0.18452877315067095,0.10580698250784379,0.29168560790553194,0.10754759354603056,0.08219809796607914,0.04347751483572363,0.003033442714607278,0.14492753623188406,0.7439613526570048
2,11,0.6578405937925844,0.6732627866719951,0.8079077137077444,0.5454545454545455,0.36363636363636365,-0.3727272727272728,0.09090909090909091,0.643776601781198,0.5029132887187097,1.0,1.0
3,182,0.5054957464773007,0.599753349152433,0.6670739101950823,0.07300642991921731,-0.05175614169364735,-0.056631078368239864,-0.18086333555946815,0.6153846215692633,0.5312505769628372,0.6758241758241759,0.9945054945054945
4,210,0.004140637729719467,-0.01165053964733374,0.2671013506013209,0.10040802390017001,-0.05023567103886385,0.11093612263972123,-0.018984442880983252,0.009523809521138378,3.2538798269520055e-06,0.08095238095238096,0.41904761904761906
5,16,0.5510746794679054,0.5989797374193377,0.7985686465052422,-0.5029411764705883,-0.2647058823529412,0.3323529411764706,-0.09705882352941177,0.5538042043008484,0.33454856410661277,1.0,0.9375
7,207,0.016998657838951447,0.028486843289241368,0.19085604805713177,0.051471198267770905,0.25163706421621157,0.028206916811277856,0.00905096774682269,-0.01449275362326786,0.0006513455874295459,0.06763285024154589,0.6666666666666666
