label,sample,beta,mean_path_uncertainty,final_uncertainty,linear_target_gain,mlp_target_gain,linear_damage,mlp_damage
1,24,0.0,0.13663292996049425,0.15540743825182232,0.0,8.548438089341537e-51,0.0007882656333563297,0.09315249478990237
1,24,0.5,0.044850289119872495,0.0050664303749260115,0.0,1.2133512935306655e-40,0.0007882147485248114,0.09288835906471352
1,58,0.0,0.07679061714382111,0.06902244472816235,-2.183790918517031e-121,-1.3359188284972976e-07,0.08712075437429279,0.022050759447708013
1,58,0.5,0.07459466721715291,0.06505317701525519,-2.183790918517031e-121,-1.3172663980158025e-07,0.09756849361200454,0.025857331450193255
1,62,0.0,0.12626910048744874,0.11647493368121141,1.0,8.96245919126174e-07,0.018073362455588327,0.13830368687565314
1,62,0.5,0.12124258784518306,0.11053220367162297,1.0,6.708900949588262e-07,0.014027075771745445,0.13727077469852766
1,72,0.0,0.1253899756617219,0.10151928738012345,0.0,1.5438190290542033e-13,3.767992529102315e-09,0.11662834349774348
1,72,0.5,0.12152473713616847,0.09617167150517086,0.0,1.4870233247781494e-13,5.479614428871571e-09,0.12115978628093294
1,87,0.0,0.13098060788032906,0.15480520964219366,0.0,1.1044029306083797e-65,0.0,0.04711907081905664
1,87,0.5,0.030750398566136327,0.0038627518468947303,0.0,2.411261946203948e-49,0.5,0.0498626351815326
1,173,0.0,0.0876629465410941,0.11247561568535597,0.0,-1.006151891426638e-17,0.0036965060046756813,0.0
1,173,0.5,0.0741958093675151,0.09976605342958196,0.0,-1.0061518914261563e-17,0.00369139681164801,0.0
1,191,0.0,0.14401278657535768,0.1534439856489794,0.0,2.9949121360566277e-26,0.48290589388461325,0.11656436782385869
1,191,0.5,0.05217783410280088,0.003375830785747707,0.0,2.870435609974211e-39,0.49356289640786183,0.010279981336401388
1,235,0.0,0.13606941486374938,0.14026076547474378,0.0,4.195335168150675e-23,7.837853921444093e-09,0.008722089399552435
1,235,0.5,0.1203992492608532,0.1248085499606294,0.0,1.3402540931937305e-20,7.145217353898836e-07,0.016033166499240414
1,260,0.0,0.1146533927506203,0.13442551256916727,0.0,9.157764143147219e-13,0.005938803114162505,0.046561789648122465
1,260,0.5,0.08246756799621055,0.1204795506123407,0.0,5.097539296495751e-10,0.0905215411045498,0.0697283469335438
1,279,0.0,0.13315670265019092,0.14132539947166609,0.0,9.42933311132732e-27,6.002305733665558e-06,0.000502061538204885
1,279,0.5,0.10089720570400157,0.10538202582731969,0.0,1.7160158544992817e-27,2.0917373782125548e-05,0.0
1,300,0.0,0.13722601487607716,0.13796842409001345,0.0,6.121242122604245e-12,0.08545505343600546,0.08437796063090358
1,300,0.5,0.13086343865990205,0.13192393336242317,0.0,1.1686346191121868e-11,0.08517798331883014,0.08868294695681528
1,311,0.0,0.14944577522137112,0.15699417583738737,1.0,7.19028536995627e-12,0.00828727999080748,0.13497020147852132
1,311,0.5,0.0876584569913046,0.009401350700288766,0.0,-1.1750087178523642e-13,0.008287096435432758,0.11842321600871789
1,314,0.0,0.12971961026276196,0.1350490689877565,0.0,4.125241937300438e-06,0.00042460492251999993,0.20837926747835575
1,314,0.5,0.11560453227499494,0.12254122143687865,0.0,3.5108905518138846e-06,0.0007014225330788104,0.20816259562820164
1,324,0.0,0.08177104842410345,0.06548488042156501,2.497184854694475e-193,9.066508633350721e-08,0.1493302717747727,0.1564673737471451
1,324,0.5,0.07875919273100813,0.06106605264593891,-5.377744263926998e-202,8.752585672045005e-08,0.14546508582125206,0.15802583040087104
1,328,0.0,0.12210124708880706,0.10601972161604976,0.0,-1.935183313828182e-07,7.438494264988549e-15,0.11832720410922654
1,328,0.5,0.11896736655796537,0.10234925317338735,0.0,-1.9351833146635242e-07,3.2554575513099593e-07,0.11271108299266863
1,343,0.0,0.14966303035126885,0.15701348789108024,0.0,1.377843087636483e-52,2.6171797957714143e-07,0.08121881425810915
1,343,0.5,0.06969874324913482,0.005327918822657001,0.0,8.918204403335454e-56,7.513726388574948e-06,0.0018270276531685004
1,364,0.0,0.11053488046947685,0.09869324777811948,0.0,2.318974509537623e-16,0.1450786953737296,0.01892119589775504
1,364,0.5,0.10568093960677603,0.09395496914407366,0.0,3.173011512344809e-16,0.15602331744600423,0.01929962355389514
1,368,0.0,0.11038307636295654,0.15071301332752976,0.0,5.99771901764698e-67,6.385278782189423e-06,0.0014886580039006336
1,368,0.5,0.017663096499292926,0.004523154156400537,0.0,1.406253137684893e-62,7.247519279590664e-05,0.0
1,391,0.0,0.13282101463460785,0.15567224508569583,0.0,9.277765457313466e-59,0.06736002698578242,0.27956879085046094
1,391,0.5,0.036136718602819945,0.002299850111204754,0.0,9.34367382834752e-56,0.0,0.10140291372933963
1,428,0.0,0.11992722797195356,0.1328844573616792,0.0,7.15638939706235e-11,0.0,0.03972053567598411
1,428,0.5,0.11055595905029263,0.12020130041667133,0.0,6.972498700554118e-13,0.0,0.030073403220500772
1,436,0.0,0.1019891032519256,0.10148209684602413,0.0,2.4273828642405213e-08,0.12429452332772929,0.07303707100845476
1,436,0.5,0.09871646125968961,0.09867118752090531,0.0,2.5276967570227564e-08,0.13433564399263376,0.07387887539834456
1,447,0.0,0.11198187840512695,0.14250507388020772,0.0,-6.326726625649158e-32,2.762275746595147e-05,0.0051386722634076155
1,447,0.5,0.019022552943059986,0.004739953490207206,0.0,-6.473069988615822e-32,2.7687491630608725e-05,0.0052118112803713834
1,473,0.0,0.14235091560792754,0.15633750378470843,0.0,1.1333628623508543e-51,0.0,0.017086000210845997
1,473,0.5,0.05077985835455571,0.003270343893634986,0.0,1.0273329029985247e-43,0.0634341228792815,0.047177939333062885
1,528,0.0,0.13870092154128794,0.14583482800995343,0.0,-3.0967481570667553e-37,0.0,0.0
1,528,0.5,0.10592817967192755,0.08576155062880605,0.0,1.2472948791799822e-33,0.0,0.0
1,530,0.0,0.11655360099255992,0.14003377847722953,0.0,-1.9227934010728454e-09,0.5,0.07413421781468998
1,530,0.5,0.02096634093555685,0.003663295313280142,0.0,-1.9227937012750308e-09,0.0,0.0
1,572,0.0,0.15094863024431796,0.15697333589900966,0.0,3.3824763205962156e-78,6.607050668047e-07,0.002779361736982679
1,572,0.5,0.11384732349228048,0.06443121587311997,0.0,1.1802843619566403e-53,0.0,0.0
1,622,0.0,0.13261363753459526,0.12849483099741701,0.0,4.481310025258046e-09,0.40646904652434385,0.16203427173479346
1,622,0.5,0.12846352966648109,0.12776073693616627,0.0,2.9685140606939508e-09,0.40660873337182585,0.16276565982674235
1,630,0.0,0.14329180401121247,0.1567326166808855,0.0,-2.106123824412627e-32,0.49887605896250004,0.15200767172683077
1,630,0.5,0.04543977787217728,0.006956998166827193,0.0,-1.6692321070685634e-32,0.49593003324959034,0.017288508806980463
1,631,0.0,0.14159026163257302,0.15035693419031765,0.0,3.986142165684164e-23,8.870889648676661e-05,0.0625980637786135
1,631,0.5,0.12127916152323666,0.14004222559719445,0.0,1.1520543950149033e-22,0.0002469331440998479,0.06142503164109533
1,636,0.0,0.15344837059238525,0.15634941032972102,0.0,9.889632743458603e-50,0.2016008894795176,0.08656029326319009
1,636,0.5,0.13423246625953472,0.09369566590979618,0.0,4.030083996865606e-59,0.0010490167935127692,0.0
1,638,0.0,0.13383171094437699,0.1542047000278032,0.0,-4.927890427926009e-35,1.3563581358289056e-05,0.03607546037421524
1,638,0.5,0.037254907858574014,0.004458337219933652,0.0,-4.92788991284305e-35,1.2101556179811013e-05,0.014926220233868526
1,658,0.0,0.15288924820992794,0.15681398742336305,0.0,1.1893157184882155e-18,0.009504741804257533,0.0
1,658,0.5,0.14678923939933822,0.1493482800483167,0.0,-8.048219336229824e-23,0.0008873134550822503,0.0
1,663,0.0,0.1126194132201718,0.10835862771330859,0.0,0.06399022630808561,0.4726136644820555,0.36996613177611115
1,663,0.5,0.11098821965479563,0.10579352056811679,0.0,0.06260510297223518,0.46939483913821445,0.36819365817796784
1,668,0.0,0.12299056433060808,0.15056659786390902,0.0,7.453073330523542e-69,0.4795205196845491,0.36691868204866546
1,668,0.5,0.038864978460734195,0.005442170842783536,0.0,7.938377627295835e-59,0.03296429076844043,0.2726460759804664
1,672,0.0,0.14021446062172224,0.12727851503816948,0.0,-3.287892096846496e-05,0.04873704316518235,0.0
1,672,0.5,0.13870039282796234,0.1248005734027134,0.0,-4.020151390726714e-05,0.03816363456635252,0.0
1,673,0.0,0.10283834352740853,0.1080853159923492,4.146873611641938e-11,3.070499324793048e-05,0.0,0.48118985152793786
1,673,0.5,0.101975701964997,0.10738807625490661,1.0937319360271732e-20,3.0514213132133767e-05,0.0,0.4814878082868117
