label,n_samples,mean_probability_before,mean_probability_after,mean_change,fraction_increased
1,1000,0.006,0.06351764085336699,0.05751764085336698,0.153
2,1000,0.2823849691680872,0.942306274956647,0.6599213057885597,0.995
3,1000,0.021419003063123453,0.8160582148308657,0.7946392117677423,0.825
4,1000,0.00399998656503816,0.05405303545934312,0.05005304889430496,0.152
5,1000,0.29365258850988396,0.9277517885926707,0.6340992000827866,0.997
7,1000,0.002,0.013999999997547126,0.011999999997547126,0.123
