label,index,alpha,mean,std,rel_norm
Label 1,0,0.1,0.07223482287794174,0.07392866626055339,0.022048833188900774
Label 1,0,0.5,0.2112477575471253,0.07387021238746733,0.10791784219234428
Label 1,0,0.75,0.31812557717814577,0.07416741798225829,0.15978906300251683
Label 1,0,1.0,0.43918670242664515,0.07435894504556771,0.2105810290119632
Label 1,0,1.5,0.711574554808287,0.07351767357341145,0.3092687185512857
Label 1,0,2.0,0.9922839443128134,0.07117697112143632,0.4046511676469431
Label 1,0,2.5,1.235836190605006,0.06959536804175807,0.496431780930868
Label 1,0,3.0,1.4026072555922946,0.07205416364781828,0.5829316091146975
Label 1,0,4.0,1.4792682418602416,0.08421588862744586,0.6838040162292247
Label 1,10,0.1,-0.015487825399080484,0.11131752165148187,0.014583305874707145
Label 1,10,0.5,0.010384419226477423,0.11163073557179119,0.0711215538169579
Label 1,10,0.75,0.026289152962321066,0.11190947845927225,0.10405700243813087
Label 1,10,1.0,0.042616705988565484,0.11232313703923255,0.1345369928109855
Label 1,10,1.5,0.07933041638376084,0.11357515036467822,0.18620833170591192
Label 1,10,2.0,0.12746128209720045,0.11548008299781483,0.22590160249120353
Label 1,10,2.5,0.1968102721598409,0.11733042862740721,0.25599540389938424
Label 1,10,3.0,0.2987920625228501,0.11808295759736845,0.2805374323585972
Label 1,10,4.0,0.61468206315218,0.1116257212215785,0.3273055566319641
Label 1,15,0.1,0.013107356381277808,0.14382820560108361,0.014710245638856246
Label 1,15,0.5,0.012809409260650703,0.14035111191943153,0.07481616912072636
Label 1,15,0.75,0.012050778576064994,0.13659421439873912,0.10891116831512614
Label 1,15,1.0,0.010988759511171975,0.1316146608958943,0.13913773380393116
Label 1,15,1.5,0.008319613095517608,0.118050181571573,0.1913641805080568
Label 1,15,2.0,0.00554296412183786,0.09998047488677342,0.24066070986083946
Label 1,15,2.5,0.0033179514015506603,0.07725964764112435,0.29208189058130274
Label 1,15,3.0,0.001953061442313088,0.049348663021852646,0.34559748646556193
Label 1,15,4.0,0.00016440489079727616,0.0029211012383872905,0.41377442783301555
Label 1,25,0.1,0.006812067734844704,0.1478313970672329,0.008242951843660164
Label 1,25,0.5,0.017556104796465213,0.1478625689555231,0.041194847091480497
Label 1,25,0.75,0.02687798099984898,0.14760157971511373,0.06202074743769018
Label 1,25,1.0,0.03932705349945394,0.14723138412594286,0.08315635173146643
Label 1,25,1.5,0.07705521161260918,0.1462824268401378,0.12620730317073073
Label 1,25,2.0,0.13696190626250648,0.14509081114372385,0.170151467987874
Label 1,25,2.5,0.22307642473503816,0.14339005673781777,0.2148191602458625
Label 1,25,3.0,0.33532864003549784,0.14069166915651124,0.26012339150794517
Label 1,25,4.0,0.6114129831176466,0.13051454604109405,0.35238947874980997
Label 1,100,0.1,-0.060008081696565865,0.1083765097384863,0.018677153636880606
Label 1,100,0.5,0.010992756069798928,0.1076863241865417,0.0879595820889524
Label 1,100,0.75,0.0640971729449161,0.10813093447355897,0.12672330205286775
Label 1,100,1.0,0.12436633434419135,0.10912158245508824,0.16245212646782303
Label 1,100,1.5,0.2657990015085845,0.11170534005349911,0.22590910212537113
Label 1,100,2.0,0.43020383453889033,0.1136540641671225,0.2819869149173407
Label 1,100,2.5,0.6080128271571816,0.11383681649078888,0.3342690294259256
Label 1,100,3.0,0.789915715950162,0.11143967190015779,0.3864520487120108
Label 1,100,4.0,1.142735559387422,0.09496693592434717,0.5049981296726496
Label 1,150,0.1,0.0006197636144986592,0.0635784018670491,0.006543665260735654
Label 1,150,0.5,9.287224459665969e-05,0.04753758941971588,0.032051958328443084
Label 1,150,0.75,-0.00012932029711923768,0.0389378388086485,0.047327449501995855
Label 1,150,1.0,-0.00018872675586555435,0.031865495391805464,0.06182990668615165
Label 1,150,1.5,-4.041547669497714e-05,0.019686025966334772,0.08850274722353212
Label 1,150,2.0,1.8057127892750352e-05,0.008249597217167478,0.10419185898748304
Label 1,150,2.5,-0.00014289309339175077,0.002741637917304867,0.1058510215686968
Label 1,150,3.0,0.000473793871021453,0.004883741948254662,0.10526992482154077
Label 1,150,4.0,0.0003881556432783276,0.004759624974154576,0.10542053505090118
Label 1,200,0.1,-0.054734083065115555,0.07252273575047126,0.03233784400469104
Label 1,200,0.5,0.024114853717383568,0.0721079960270411,0.15731344176087284
Label 1,200,0.75,0.08909564272068106,0.07318863725081623,0.23010357923608762
Label 1,200,1.0,0.1690805755262792,0.07474716403985578,0.2992855931135574
Label 1,200,1.5,0.37455002066803944,0.07762236445423958,0.42905236935143587
Label 1,200,2.0,0.6268542562302695,0.07864691868267566,0.5509449059655238
Label 1,200,2.5,0.8948255534136629,0.07739235953085871,0.6666917215827624
Label 1,200,3.0,1.1401541433324947,0.0750532654877867,0.7766139817863847
Label 1,200,4.0,1.4417179461294563,0.07630366546133147,0.974885928524512
Label 2,0,0.1,0.43835137827649767,0.4026968855864715,0.03055721951030606
Label 2,0,0.5,0.5686800044275424,0.40321033310732013,0.15358757772880471
Label 2,0,0.75,0.6492378923472023,0.4038410503104417,0.23111078452029027
Label 2,0,1.0,0.7284046074129868,0.4047022842494219,0.3090700627480737
Label 2,0,1.5,0.8803950104338563,0.40705841791999775,0.46627698343405766
Label 2,0,2.0,1.0207490848481593,0.41014401492071595,0.6250116326830142
Label 2,0,2.5,1.1464453237060925,0.4137735648961122,0.7849748645029565
Label 2,0,3.0,1.2555527935654105,0.41771231635238365,0.9456417517406086
Label 2,0,4.0,1.4223747789972763,0.4253602387335278,1.264653450772482
Label 2,10,0.1,0.7078280359021443,0.4101823557681166,0.020242287483353025
Label 2,10,0.5,0.8145566223801521,0.41107317859422277,0.1010020880845399
Label 2,10,0.75,0.8786034218621994,0.41188528237965333,0.1511980797779878
Label 2,10,1.0,0.940202486017969,0.4128861220793378,0.20109498759733188
Label 2,10,1.5,1.0549303435713124,0.41537024394520305,0.29953398399131004
Label 2,10,2.0,1.1569619799218445,0.41834447556613946,0.39536813067601917
Label 2,10,2.5,1.2453564576044367,0.4215620902616852,0.48735371279976586
Label 2,10,3.0,1.3200846337186651,0.42472551833876293,0.5738985626993843
Label 2,10,4.0,1.4327327193043968,0.42967121805941066,0.7235040045885955
Label 2,15,0.1,0.5365157453378471,0.43414950658391555,0.01353042387839993
Label 2,15,0.5,0.6154277541266884,0.432807863728267,0.0676134350362847
Label 2,15,0.75,0.6629763032010733,0.4320211535786808,0.10133455685856513
Label 2,15,1.0,0.7089038602646222,0.43130592020192027,0.13495579784563458
Label 2,15,1.5,0.7951140486431039,0.4301444366908512,0.20171671537299202
Label 2,15,2.0,0.8727264603136158,0.4294634508604245,0.2675398523069696
Label 2,15,2.5,0.9408103694919404,0.4293587613709631,0.33199237011829635
Label 2,15,3.0,0.9989045540032888,0.42985417425715644,0.3945244557452901
Label 2,15,4.0,1.085908859029542,0.432261172221048,0.5108103083797716
Label 2,25,0.1,0.8332108734801114,0.4304632392122228,0.01022153058899415
Label 2,25,0.5,0.9214659578316289,0.4300523924306021,0.05093210088376924
Label 2,25,0.75,0.975555159548358,0.42993136717329805,0.07620920897893567
Label 2,25,1.0,1.0285067724812875,0.42991920888405855,0.1013476044256933
Label 2,25,1.5,1.1299800840077296,0.430167358686172,0.15110042591637116
Label 2,25,2.0,1.22401223810715,0.43071925120017435,0.20001214441666532
Label 2,25,2.5,1.3090278332931036,0.43147064308887173,0.2478609996767984
Label 2,25,3.0,1.3838284402075718,0.43230162015021356,0.2943713228992861
Label 2,25,4.0,1.5001864110445104,0.43372019826309444,0.38194263945033835
Label 2,100,0.1,0.7982007033077763,0.40800845285229687,0.024472482276066864
Label 2,100,0.5,0.8921702389839801,0.4085069854508827,0.12277183869763036
Label 2,100,0.75,0.947667922110965,0.409182445503822,0.184458765124983
Label 2,100,1.0,1.0003336269112966,0.41013420969603737,0.2462486111115542
Label 2,100,1.5,1.096264230056819,0.4127849793986602,0.36980114185880514
Label 2,100,2.0,1.1787053612360001,0.4162328856592272,0.49251098152658135
Label 2,100,2.5,1.2474551445910245,0.4201154971180168,0.6128376617529234
Label 2,100,3.0,1.3036152234511231,0.4239464238148094,0.7281025390760586
Label 2,100,4.0,1.3890324515847907,0.42947813386139555,0.9280050190404313
Label 2,150,0.1,1.018906902053757,0.40800873544636096,0.00800712481064179
Label 2,150,0.5,1.1149268361556737,0.40856598089518587,0.04031307240015774
Label 2,150,0.75,1.1709144247988599,0.4092730274618795,0.0607145138996158
Label 2,150,1.0,1.2235340086842785,0.4102523593215242,0.08125113062633788
Label 2,150,1.5,1.3180679933749602,0.4129414578622326,0.1226493740624066
Label 2,150,2.0,1.397890628059987,0.41638077822904296,0.16422991013037813
Label 2,150,2.5,1.4632352916732416,0.42018180148044326,0.20554346244299826
Label 2,150,3.0,1.515049807665738,0.4238844828373402,0.24594949116090267
Label 2,150,4.0,1.5835897408389368,0.42948172822938835,0.3212858129635898
Label 2,200,0.1,0.5925665971823123,0.40370246846528884,0.03880505426896982
Label 2,200,0.5,0.7109465344082206,0.4044781786347661,0.19519175107608802
Label 2,200,0.75,0.7824048328681292,0.4052824418524394,0.29386059536648407
Label 2,200,1.0,0.8513396763840204,0.40632274033943144,0.39317558329274893
Label 2,200,1.5,0.9799974635811232,0.4090333172099036,0.5936947837761136
Label 2,200,2.0,1.0942742648914419,0.4124237337170682,0.7963098844914768
Label 2,200,2.5,1.192698204354453,0.41623278316113094,1.000155163382202
Label 2,200,3.0,1.2751424835912426,0.42012997998769475,1.2035227546561147
Label 2,200,4.0,1.3982921198641152,0.42669818630821643,1.5953775795397256
Label 3,0,0.1,0.1555727349059006,0.18768876783764485,0.0281579018375471
Label 3,0,0.5,0.2756714077146952,0.1884163577304686,0.14162332237004036
Label 3,0,0.75,0.35514877860069277,0.18940748140495478,0.21298506542751658
Label 3,0,1.0,0.43761171999178033,0.19075517598293681,0.2844854672233464
Label 3,0,1.5,0.6097926352549209,0.19426505249331463,0.4272617286109042
Label 3,0,2.0,0.788241237672698,0.19844545243775877,0.5687656821136421
Label 3,0,2.5,0.9682454249192752,0.20284415322740038,0.7079299520326733
Label 3,0,3.0,1.1446719951932178,0.20711921692001825,0.843746313604644
Label 3,0,4.0,1.4665785189062037,0.21453516783102292,1.101084565028916
Label 3,10,0.1,-0.10104378273407134,0.1978050052862292,0.016725293101233104
Label 3,10,0.5,-0.015690019226764787,0.19798933640563243,0.08390704442588237
Label 3,10,0.75,0.041360322246214415,0.1986708324572506,0.12598006413697233
Label 3,10,1.0,0.10114114768450476,0.19975317032593934,0.16800234670998918
Label 3,10,1.5,0.22826232865525414,0.20285081797660875,0.2514849417085364
Label 3,10,2.0,0.3640059212021055,0.20669540865991679,0.3336369047416071
Label 3,10,2.5,0.5060897133026883,0.21065362088839124,0.41380738922458343
Label 3,10,3.0,0.6517610285465113,0.21418709603860275,0.4913738902279484
Label 3,10,4.0,0.9419907313952979,0.21878663339151105,0.6360430549614118
Label 3,15,0.1,-0.0031019205642990044,0.2310417009177062,0.01467908157085324
Label 3,15,0.5,0.021984619755556295,0.23260792393663585,0.07441025812589819
Label 3,15,0.75,0.03763668896082986,0.2338415090051374,0.11220922437862885
Label 3,15,1.0,0.053499349940491214,0.23527112539819311,0.14998990231953283
Label 3,15,1.5,0.08663968288022456,0.23856013223745878,0.22412484071158995
Label 3,15,2.0,0.12300230401429652,0.24220930862150003,0.29455127823593513
Label 3,15,2.5,0.16402611369619585,0.24591405882448805,0.3601114090380822
Label 3,15,3.0,0.21086850570282145,0.24938933564030447,0.42069097421225016
Label 3,15,4.0,0.32501645887393993,0.25475510247366784,0.5288805685707654
Label 3,25,0.1,0.08894682016266149,0.22682063464404573,0.00894087239867612
Label 3,25,0.5,0.17813373831974436,0.2264876882346975,0.04479086773317101
Label 3,25,0.75,0.23698575913106737,0.22652613596359927,0.06721933838215963
Label 3,25,1.0,0.29795649186396456,0.22675523135366668,0.08962709352124953
Label 3,25,1.5,0.42518187156513815,0.22767330732798022,0.13423294236310682
Label 3,25,2.0,0.5575356484192799,0.2290360933818579,0.17833347259288856
Label 3,25,2.5,0.692633828143016,0.2305870352550476,0.22164421430694212
Label 3,25,3.0,0.8281450947949381,0.2320673844546928,0.26386940952915366
Label 3,25,4.0,1.0919131797794663,0.23401169666153887,0.34388424842625254
Label 3,100,0.1,0.047833132524641095,0.1949240632599582,0.020245368375045557
Label 3,100,0.5,0.1472966642518026,0.1960314902636284,0.102014598930043
Label 3,100,0.75,0.21259166203756408,0.19736595761200756,0.15369249000254753
Label 3,100,1.0,0.27980712862443674,0.19912783406016732,0.20573138676483305
Label 3,100,1.5,0.4181936760727386,0.20360737443709262,0.3107273632597712
Label 3,100,2.0,0.5587211738875334,0.20879378661827194,0.41653005835943274
Label 3,100,2.5,0.697751437693793,0.21401248270940007,0.5225017209998835
Label 3,100,3.0,0.8321590661499467,0.21868368423194778,0.627705613901436
Label 3,100,4.0,1.0791606536663094,0.22483393199363869,0.8297756001597902
Label 3,150,0.1,0.031166422905023305,0.19218628445592412,0.00833325610044221
Label 3,150,0.5,0.15246327230868215,0.19238511150548918,0.04130707778923612
Label 3,150,0.75,0.2334581999316743,0.19307659422915674,0.061596097388357814
Label 3,150,1.0,0.31782531731748376,0.19411673489883616,0.08163811281274422
Label 3,150,1.5,0.49418222555601543,0.19689865785815536,0.12088142439678937
